halqa_id,name,political_party,
NA-55,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-55,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-56,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-56,Akram Khan,Independent,182
NA-56,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-56,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-56,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-56,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-56,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-56,Hidayatullah Khan Afridi Advocate,Independent,61
NA-56,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-56,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-56,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-56,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-56,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-56,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-56,Pir Abdur Rehman,Independent,265
NA-56,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-56,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-56,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-57,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-57,Akram Khan,Independent,182
NA-57,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-57,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-57,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-57,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-57,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-57,Hidayatullah Khan Afridi Advocate,Independent,61
NA-57,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-57,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-57,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-57,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-57,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-57,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-57,Pir Abdur Rehman,Independent,265
NA-57,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-57,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-57,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-58,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-58,Akram Khan,Independent,182
NA-58,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-58,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-58,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-58,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-58,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-58,Hidayatullah Khan Afridi Advocate,Independent,61
NA-58,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-58,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-58,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-58,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-58,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-58,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-58,Pir Abdur Rehman,Independent,265
NA-58,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-58,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-58,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-59,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-59,Akram Khan,Independent,182
NA-59,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-59,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-59,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-59,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-59,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-59,Hidayatullah Khan Afridi Advocate,Independent,61
NA-59,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-59,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-59,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-59,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-59,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-59,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-59,Pir Abdur Rehman,Independent,265
NA-59,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-59,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-59,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-60,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-60,Akram Khan,Independent,182
NA-60,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-60,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-60,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-60,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-60,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-60,Hidayatullah Khan Afridi Advocate,Independent,61
NA-60,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-60,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-60,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-60,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-60,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-60,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-60,Pir Abdur Rehman,Independent,265
NA-60,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-60,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-60,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-61,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-61,Akram Khan,Independent,182
NA-61,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-61,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-61,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-61,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-61,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-61,Hidayatullah Khan Afridi Advocate,Independent,61
NA-61,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-61,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-61,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-61,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-61,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-61,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-61,Pir Abdur Rehman,Independent,265
NA-61,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-61,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-61,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-62,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-62,Akram Khan,Independent,182
NA-62,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-62,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-62,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-62,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-62,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-62,Hidayatullah Khan Afridi Advocate,Independent,61
NA-62,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-62,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-62,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-62,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-62,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-62,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-62,Pir Abdur Rehman,Independent,265
NA-62,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-62,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-62,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-63,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-63,Akram Khan,Independent,182
NA-63,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-63,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-63,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-63,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-63,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-63,Hidayatullah Khan Afridi Advocate,Independent,61
NA-63,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-63,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-63,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-63,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-63,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-63,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-63,Pir Abdur Rehman,Independent,265
NA-63,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-63,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-63,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-64,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-64,Akram Khan,Independent,182
NA-64,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-64,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-64,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-64,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-64,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-64,Hidayatullah Khan Afridi Advocate,Independent,61
NA-64,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-64,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-64,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-64,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-64,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-64,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-64,Pir Abdur Rehman,Independent,265
NA-64,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-64,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-64,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-65,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-65,Akram Khan,Independent,182
NA-65,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-65,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-65,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-65,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-65,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-65,Hidayatullah Khan Afridi Advocate,Independent,61
NA-65,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-65,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-65,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-65,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-65,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-65,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-65,Pir Abdur Rehman,Independent,265
NA-65,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-65,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-65,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-66,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-66,Akram Khan,Independent,182
NA-66,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-66,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-66,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-66,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-66,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-66,Hidayatullah Khan Afridi Advocate,Independent,61
NA-66,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-66,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-66,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-66,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-66,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-66,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-66,Pir Abdur Rehman,Independent,265
NA-66,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-66,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-66,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-67,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-67,Akram Khan,Independent,182
NA-67,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-67,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-67,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-67,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-67,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-67,Hidayatullah Khan Afridi Advocate,Independent,61
NA-67,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-67,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-67,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-67,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-67,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-67,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-67,Pir Abdur Rehman,Independent,265
NA-67,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-67,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-67,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-68,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-68,Akram Khan,Independent,182
NA-68,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-68,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-68,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-68,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-68,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-68,Hidayatullah Khan Afridi Advocate,Independent,61
NA-68,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-68,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-68,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-68,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-68,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-68,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-68,Pir Abdur Rehman,Independent,265
NA-68,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-68,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-68,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-69,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-69,Akram Khan,Independent,182
NA-69,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-69,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-69,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-69,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-69,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-69,Hidayatullah Khan Afridi Advocate,Independent,61
NA-69,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-69,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-69,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-69,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-69,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-69,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-69,Pir Abdur Rehman,Independent,265
NA-69,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-69,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-69,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-70,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-70,Akram Khan,Independent,182
NA-70,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-70,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-70,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-70,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-70,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-70,Hidayatullah Khan Afridi Advocate,Independent,61
NA-70,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-70,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-70,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-70,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-70,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-70,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-70,Pir Abdur Rehman,Independent,265
NA-70,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-70,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-70,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-71,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-71,Akram Khan,Independent,182
NA-71,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-71,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-71,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-71,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-71,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-71,Hidayatullah Khan Afridi Advocate,Independent,61
NA-71,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-71,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-71,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-71,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-71,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-71,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-71,Pir Abdur Rehman,Independent,265
NA-71,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-71,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-71,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-72,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-72,Akram Khan,Independent,182
NA-72,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-72,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-72,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-72,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-72,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-72,Hidayatullah Khan Afridi Advocate,Independent,61
NA-72,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-72,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-72,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-72,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-72,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-72,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-72,Pir Abdur Rehman,Independent,265
NA-72,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-72,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-72,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-73,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-73,Akram Khan,Independent,182
NA-73,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-73,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-73,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-73,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-73,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-73,Hidayatullah Khan Afridi Advocate,Independent,61
NA-73,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-73,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-73,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-73,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-73,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-73,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-73,Pir Abdur Rehman,Independent,265
NA-73,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-73,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-73,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-74,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-74,Akram Khan,Independent,182
NA-74,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-74,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-74,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-74,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-74,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-74,Hidayatullah Khan Afridi Advocate,Independent,61
NA-74,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-74,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-74,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-74,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-74,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-74,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-74,Pir Abdur Rehman,Independent,265
NA-74,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-74,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-74,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-75,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-75,Akram Khan,Independent,182
NA-75,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-75,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-75,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-75,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-75,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-75,Hidayatullah Khan Afridi Advocate,Independent,61
NA-75,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-75,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-75,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-75,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-75,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-75,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-75,Pir Abdur Rehman,Independent,265
NA-75,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-75,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-75,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-76,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-76,Akram Khan,Independent,182
NA-76,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-76,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-76,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-76,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-76,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-76,Hidayatullah Khan Afridi Advocate,Independent,61
NA-76,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-76,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-76,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-76,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-76,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-76,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-76,Pir Abdur Rehman,Independent,265
NA-76,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
