name,leader,designation_id,address
public fourm,dr. muhammad aslam,president,"head office: # 8, 1st floor, mussarrat arcade, g- 11 markaz, islamabad. ph no. 051-2830612"
punjab national front,ch.mustansar assd,president,"lawyers chambers no.211, ist floor, district courts, lahore"
punjab national party,mian amir abbas,president,"3rd floor, 24 mian chamber , 3 temple road lahore. cell: 0321-8458465"
qaumi inqilab party,raja naseeb khan,chairman,"central secretariat 2. naseeb house 118, railway housing scheme no. 1, chaklala, rawalpindi."
qaumi jamhoori party,air marshal (r) m. asghar khan,president,"1-kachehry road, abbottabad ."
qaumi tahaffaz party,rafiq r. sanjrani,chairman,"central office: 28 mayo welfare complex, phulgran road, barakahu, islamabad. phone: 051-2263080. fax: 051-2255967"
qaumi watan party (sherpao),aftab ahmad khan sherpao,chairman,"5-f, rehman baba road, university town, peshawar. ph: 091-841630-841730 fax: 091- 844523"
qomi awami tehreek,mr. ayaz latif palijo,central president,"house no.1324,aziz manzil, gari khata, hyderabad"
rah-e-haq,ibrahim qasmi,president,"head office, mohalla farooq-e-azam, landi arbab, peshawar."
roshan pakistan league,muhammad azam,president,"asif shoukat's house, village nathey-wala, tehsil & district, kasur."
roshan pakistan party,mubrik ali ch.,president,"federal secretariat: house no.2, bock-c, tajpura scheme, lahore, cantt."
sada-e-pakistan party,malik gul nawaz,chairman,"mohallah usmania, kanj kehil, ward no12, tehsil and district abbattabad."
sairkistan qaumi ittehad,khuwaja chuam farid goreja,central president,"kot mithan sharif, tehsil and district rajanpur cell no. 0301-3985141"
salam pakistan party,muhammad shoaib,president,"house no:254-c, abadi no:3, street no:11, tench bhatta, rawalpindi. ph:051-8006303"
seraiki sooba movement pakistan,malik mumtaz hussain jai,president,"central office:  seraikistan house, quaid-e-azam road, north gulgasht colony multan.ph:03006343093"
shahideens democratic party of pakistan,syed nadeem hussain,convener,"al-jannat, 7-a, sharah-e-fatima jinnah, p.o box: 859, lahore."
shan-e-pakistan party,abdul hafeez khokhar,president,"house no.1, street no. 24, f-7/2, islamabad ph 2278785 fax 2278920"
shia sunni ittehad.,farahan ahmed(allias) ali shah,chairman,"bungalow no. a-248, block no.5, sadabad society, gulishtan-e-jauhar."
sindh democratic alliance,imtiaz ahmed shaikh,president,"53-a, 11th south street phas-ii, d.h.a. karachi."
sindh dost ittehad,"pir zafar jhandir,",founder and quaid & chairman,"52/1, lane # 24, khyban-e-badban, phase-vii, dha, karachi."
sindh national front,sardar mumtaz ali bhutto,chairman,"62/iii , street:b-8, dha, phase-v, karachi,  ph: no. 5873867"
sindh taraqi passand party (stp),dr.qader bux magsi,chairman,"b#43, happy homes qasimabad hyderabad"
sindh united party,sayed jalal mehmood,president,"126, hyder manzil, muslim colony, opposite : nishtar park, jamshed town, karachi. ph: 021- 2045978,fax: 2228994"
sindh urban-rural alliance,syed parvez ali shah,president,"bunglow no. 27/1, phase vi, d.h.a, karachi."
siyaasi tehreek-e-najaat,mr.fahad nabi,central president,"main office near by cenna public school & college pabbi, nowshera.mob: 0333-9038030"
social democratic movement pakistan,muhammad hafeez tabassum,founder chairman,"120-gulberg town, kot khadim ali,  sahiwal"
sunni ittehad council,sahibzada haji muhammad fazal karim,chairman,"jamia rizvia, mazhar-e-islam, jhang bazar, faisalabad contect no.phone no(res) :041- 613331, mobile no :0300-4230496"
swabi qaumi mahaz,dr. muhammad saleem,chairman,"dr. muhammad saleem clinic, sawbi adda, sawabi."
tajir awam movement pakistan,khuwaja muhammad shafique,chairman,"room no.29, hajveri arcade, kutchery road, multan ph no.061-4500967-8 mob no.0301- 7832580"
taleem yafta pakistan party.,prof. muhammad amjad khan,president,"house # 1681, mohallah pir pathan, kecheri road, multan. cell no. 0301-7421706, 0335- 7537172, personal secretary information 0303- 1114890 www.taleemyaftapakistanparty.com"
tameer-e-pakistan party,lt.  gen faiz ali chishti (r),president,"1st floor, faisal shopping mall, opp. gpo, saddar, rawalpindi cantt. tel: 051-5700456-7"
tanzeem-e-ahl-e-sunnat,"pir muhammad afzal qadri,",markazi ameer,"markaz-e-ahl-e-sunnat naikabad, mararian sharif, gujrat contect ph: no.053-3521401, mob. no.0300-9622887"
tehreek islam pakistan,malik muhammad abdullah,chairman,"plot no:969, shaheen abad colony, hafiz jamal road, multan contect no.03346145586"
tehreek jamhoriat pakistan,general (r)  zakir ali zadi,president,"54-4th floor, ghafoor chairman, abdullah haroon road, saddar, karachi"
tehreek tabdili nizam pakistan,"nawab muhammad iqbal khan baloch, adovcate",chairman,"nawab house, purmat road, jalalpur perwala, multan ph:03006589815"
tehreek-e-awami inqalab party  ,&nbsp;,&nbsp;,&nbsp;
tehreek-e-difa-e-pakistan,mr. zahid iqbal bakhtawari,chairman,"al-amin plaza, 9-10-11, mall road, rawapindi cantt. contect no.051-5701079"
tehreek-e-ehsas-e-pakistan,rao muhammad zubair aslam,party head/chairman,"fawara chowk, tehsil checha wattani, district sahiwal mob no.0302-8697742"
tehreek-e-emaan pakistan,mr. ghulam yaseen,chairman,"gojra tehsil malakwal, district mandi bahawddin."
tehreek-e-hussainia pakistan,muhammad hussain akbar,president,"markazi office: 652/h block no. 5 sector d/i town sheep, lahore."
tehreek-e-insaniat pakistan,ehsan-ul-haque,president,"house no. 17-c, main sumbel road, , f-10/2. islamabad."
tehreek-e-istehkaam pakistan,syed ali raza,chairman,"6-a, canal park, gulberg-ii, lahore."
tehreek-e-itehad pakistan.,shahzad khan,central president,"office no.sn-246, dhok kala khan, shamasabad, rawalpindi"
tehreek-e-ittehad ummat pakistan,syed charagh-ud-din shah,central president,"412, jamia sarajia nazamia, asghar mall scheme, saidpur road, rawalpindi. contect no.0300-9545718"
tehreek-e-ittehad-e-adam,ijaz ahmed,president,"chak no.451, ropraian, darbar baba bhulla shah tehsil samudari, district faisalabad. call no.0306-4867781"
tehreek-e-khalaft pakistan,azhar ali,chairman,"jahanzab block, 327-iii, allama iqbal town lahore"
tehreek-e-pasmanada awam pakistan,chaudhry hasham hayat wathra,president,"chak no. 120/7-er, dakkhana kassowal, tehsil chichawat.ni, district sahiwal ph: no.0405484951 mob no.03007643002"
tehreek-e-suba hazara,sardarhaider zaman (baba),quaid-e-tehreek/ chairman,"mohalla darul khair malakpura, abbottabad."
tehreek-e-tahafuze pakistan,syed bashir ahmed shah,chairman,"office no.2, chand plaza g-9 markaz, islamabad."
tehreek-e-tahfuz-e-pakistan,dr. abdul qadeer khan,chairman,"207, hill side road e-7, islamabad, cell no.0333- 5213523"
tehreek-e-wafaq pakistan,manzoor ali bhatti,president,"shadman 4-jail road, lahore."
tehrik-e-istaqlal,rehmat khan wardag,central president,"head office karachi: m-31, corniche residence, opposite bilawal house, clifton block ii, karachi. 75600. ph: 021-5824752-3 fax: 021-5379346. cell: 0300-"
tehrik-e-istiqlal pakistan,president: muhammad ikram nagra                     rahbar: air marshal(r) m. asghar khan,president,"33-nagra law chambers, district court, sheikhupura. cell no.0320-4877546"
tehrik-e-masawaat,mst. musarrat shaheen,chairperson,"7/a-c/1,gulberg-iii, lahore."
waseeb ittehad pakistan,shahbaz ahmed,chairman,"bahawalpur road, basti maluk, multan."
wattan national league pakistan.,gulfraz khan abbasi,president,"near mohallah sai masjid, sector e-11, main golra road, islamabad."
